order_id,product_id,order_date,amount
1492,44,2023-10-20,216.45
1188,22,2023-11-26,106.43
1383,6,2023-03-29,378.95
1512,22,2023-08-23,171.78
1252,33,2024-09-23,73.28
1918,41,2023-04-02,338.88
1478,44,2024-03-11,229.66
1923,40,2023-07-28,109.09
1645,14,2023-09-07,276.15
1715,5,2024-05-14,25.21
1069,9,2023-10-19,170.73
1732,8,2023-03-13,45.67
1698,34,2023-06-09,100.72
1914,7,2023-05-22,80.62
1556,40,2024-12-18,187.7
1386,45,2024-08-13,375.67
1325,40,2023-03-27,333.11
1513,21,2024-01-17,74.33
1651,33,2023-08-08,179.66
1381,5,2024-05-24,41.87
1182,17,2023-06-24,453.65
1374,33,2023-10-26,137.87
1601,29,2023-05-14,475.93
1821,9,2023-02-12,122.54
1289,43,2023-07-08,14.9
1055,11,2023-02-02,27.67
1539,5,2024-09-09,469.82
1515,24,2024-08-21,409.91
1242,42,2024-12-20,155.89
1151,47,2024-10-25,481.5
1054,4,2024-05-19,410.8
1876,16,2023-10-08,409.61
1587,9,2023-04-28,307.43
1071,8,2024-06-15,91.54
1254,11,2023-07-23,33.5
1267,50,2024-04-07,179.68
1846,30,2023-06-24,277.78
1658,27,2023-01-12,354.88
1962,33,2023-06-02,11.43
1701,1,2024-09-16,118.52
1368,11,2023-10-01,220.94
1434,33,2024-10-30,384.16
1987,47,2023-05-03,54.48
1383,4,2023-03-16,121.13
1211,4,2024-02-24,495.89
1009,24,2023-12-26,310.27
1512,2,2024-08-25,387.09
1272,41,2024-12-03,277.09
1926,1,2024-02-27,110.14
1151,25,2023-06-18,22.86
1607,6,2023-11-22,125.17
1704,41,2023-02-02,167.58
1336,41,2023-06-01,463.1
1119,34,2023-10-23,309.53
1742,29,2024-02-03,59.98
1871,29,2024-09-12,70.19
1398,48,2024-04-03,190.74
1491,30,2023-05-28,344.65
1445,33,2023-11-15,389.22
1845,8,2024-06-28,332.17
1284,5,2023-11-04,497.8
1651,17,2023-11-22,33.06
1907,34,2023-11-11,132.49
1071,3,2024-05-21,328.55
1614,49,2023-04-24,169.2
1152,13,2024-10-11,488.45
1062,8,2024-01-09,438.93
1890,44,2023-04-28,386.1
1875,2,2024-10-16,112.37
1064,23,2023-03-06,275.95
1004,37,2023-02-05,392.02
1122,35,2023-12-10,417.93
1630,24,2023-08-19,122.43
1500,44,2024-06-30,463.46
1610,41,2023-12-12,355.37
1859,5,2023-05-14,346.1
1099,44,2024-10-16,392.82
1310,1,2024-04-10,80.17
1675,41,2023-05-19,19.66
1675,13,2023-10-07,390.15
1635,5,2023-02-24,287.79
1666,23,2024-09-08,359.83
1678,24,2024-09-15,93.53
1855,37,2024-09-30,182.09
1928,47,2023-10-31,76.42
1952,12,2023-10-14,307.49
1764,45,2023-07-27,207.27
1136,22,2023-09-18,349.39
1365,23,2023-12-29,397.29
1704,31,2024-10-22,184.54
1346,22,2023-05-06,138.75
1881,30,2024-11-12,307.5
1218,28,2024-08-09,245.48
1748,3,2024-10-03,466.95
1312,5,2024-08-02,165.4
1456,7,2024-11-03,443.71
1313,33,2024-01-10,116.28
1000,7,2024-02-10,448.17
1039,9,2024-03-08,399.38
1414,32,2024-08-30,369.97
1680,48,2024-06-06,346.8
1801,7,2024-01-17,377.12
1761,12,2023-02-26,337.87
1303,4,2024-11-30,296.76
1262,18,2023-06-28,19.34
1928,48,2024-09-15,119.78
1213,8,2023-08-07,59.58
1753,47,2023-11-14,219.83
1940,35,2023-04-12,328.18
1459,40,2023-01-22,399.35
1722,15,2024-02-24,122.99
1322,3,2024-09-28,75.79
1317,31,2023-11-11,62.81
1584,25,2023-04-09,366.14
1462,19,2023-10-25,378.01
1457,48,2024-03-18,63.4
1185,43,2024-01-04,188.69
1225,15,2024-03-17,227.8
1130,17,2023-01-15,111.77
1533,37,2023-12-31,278.23
1654,41,2023-04-14,353.36
1903,1,2024-04-21,157.69
1644,37,2023-01-14,332.93
1939,9,2023-06-23,200.68
1586,21,2024-01-29,469.57
1809,1,2023-06-24,294.55
1762,19,2023-02-02,205.18
1113,22,2023-02-20,499.59
1769,11,2024-06-19,77.33
1683,28,2023-05-12,317.38
1467,16,2024-12-27,18.71
1315,43,2024-05-06,340.41
1668,19,2024-06-17,425.8
1178,12,2023-09-05,199.86
1014,24,2023-04-14,151.73
1689,24,2024-04-15,429.37
1828,11,2023-06-16,72.35
1674,37,2024-12-13,283.55
1166,18,2024-12-01,472.79
1262,11,2023-12-26,312.76
1716,27,2023-04-21,147.57
1849,34,2024-12-26,35.06
1973,29,2024-11-26,397.78
1555,17,2024-09-18,458.47
1859,23,2023-12-07,421.67
1893,19,2023-10-21,316.6
1022,37,2024-06-23,419.45
1904,14,2024-09-26,231.25
1739,11,2024-06-23,126.19
1705,19,2024-05-01,461.66
1593,20,2023-07-30,288.1
1121,17,2024-05-08,111.4
1577,12,2024-04-19,347.46
1617,13,2023-06-24,398.53
1772,12,2023-11-13,250.44
1449,2,2024-04-01,231.21
1439,4,2023-04-27,259.05
1683,35,2023-07-07,285.04
1446,8,2023-10-06,83.04
1677,21,2023-12-13,197.48
1996,48,2023-03-04,411.36
1909,5,2023-10-24,347.67
1254,42,2024-11-04,173.04
1217,33,2023-12-28,440.94
1156,7,2024-08-20,196.06
1943,29,2023-03-27,216.04
1504,3,2024-03-14,366.07
1258,45,2024-07-17,110.27
1044,12,2023-12-06,447.59
1341,34,2024-11-25,136.61
1872,36,2023-07-19,153.74
1789,27,2023-07-26,352.96
1675,45,2023-12-24,188.92
1453,4,2024-07-23,20.5
1136,25,2024-10-24,76.5
1977,9,2023-02-13,199.87
1806,24,2024-11-08,117.43
1410,41,2024-04-18,46.06
1211,33,2023-01-13,325.32
1557,15,2023-10-02,463.82
1897,9,2023-06-07,255.68
1871,4,2023-06-23,134.25
1152,11,2023-01-28,308.65
1372,25,2024-08-19,269.88
1708,39,2023-09-29,303.89
1494,44,2023-08-07,416.63
1471,25,2023-05-31,327.26
1160,7,2024-01-25,455.79
1918,43,2023-05-04,408.57
1704,39,2024-11-07,485.41
1757,1,2023-03-31,321.51
1750,24,2024-03-04,427.16
1648,44,2024-06-11,208.9
1400,40,2024-09-02,418.29
1034,29,2024-03-19,139.49
1351,31,2024-08-02,75.05
1998,48,2023-09-07,33.34
1192,5,2024-11-02,156.57
1911,14,2024-08-22,453.61
1543,49,2024-12-18,273.96
1505,3,2024-03-07,49.06
1152,6,2024-04-22,204.99
1702,25,2024-03-16,374.83
1057,24,2024-07-11,326.98
1730,13,2024-09-29,456.09
1372,46,2023-05-14,457.98
1800,49,2023-06-23,261.82
1569,30,2023-06-29,184.72
1956,15,2024-05-02,70.95
1672,47,2023-08-19,402.39
1891,15,2024-11-06,115.53
1777,8,2023-03-31,27.75
1382,22,2024-01-18,202.95
1183,35,2023-01-22,183.09
1639,21,2024-11-05,120.26
1720,50,2023-02-04,492.41
1170,47,2024-03-29,366.54
1345,44,2023-05-03,245.61
1722,22,2024-03-04,452.01
1441,40,2023-06-12,79.05
1826,23,2024-04-02,262.82
1784,33,2024-08-29,449.12
1568,30,2024-03-02,313.07
1936,49,2023-09-30,452.48
1689,31,2023-05-02,160.35
1349,27,2023-04-03,131.18
1370,43,2024-05-09,73.92
1583,50,2024-02-08,110.31
1066,41,2024-02-05,433.93
1898,12,2023-06-20,462.06
1890,8,2024-07-12,371.1
1719,5,2023-06-23,332.05
1878,15,2023-01-04,415.82
1255,9,2023-05-21,456.72
1902,7,2024-05-20,16.89
1683,8,2023-10-29,373.59
1248,14,2023-11-24,167.94
1658,16,2023-06-05,31.51
1425,13,2023-09-02,447.7
1084,44,2024-02-05,282.57
1181,14,2023-07-15,294.29
1264,2,2024-12-11,260.43
1912,1,2024-03-21,304.94
1711,10,2023-04-27,367.66
1280,44,2023-01-25,114.79
1686,40,2023-02-05,79.36
1129,35,2023-09-02,10.31
1559,6,2024-08-14,149.6
1961,19,2024-11-11,154.79
1832,8,2023-03-29,483.16
1161,49,2024-04-27,430.2
1654,8,2024-05-29,139.26
1453,48,2024-11-16,277.72
1322,17,2023-10-05,385.28
1785,43,2024-05-15,80.36
1930,42,2024-07-21,166.42
1631,34,2023-07-03,167.66
1487,30,2024-01-18,490.58
1921,2,2024-06-17,460.48
1624,14,2023-11-14,397.7
1817,2,2024-09-29,217.26
1314,10,2023-03-18,478.68
1244,25,2024-03-11,249.95
1157,25,2024-02-26,137.42
1318,47,2023-05-28,364.22
1166,46,2024-02-21,190.12
1546,44,2023-02-27,137.38
1929,9,2023-06-22,245.39
1233,33,2024-06-06,470.66
1556,9,2023-05-09,298.6
1254,3,2024-05-08,288.25
1694,41,2023-01-02,388.69
1603,32,2023-12-20,385.15
1566,47,2024-03-01,408.78
1816,38,2023-07-27,290.38
1266,24,2024-02-10,73.66
1910,16,2023-08-25,370.15
1767,35,2023-09-28,102.34
1202,34,2023-02-07,378.22
1767,33,2023-10-01,346.44
1907,30,2023-11-06,353.35
1690,46,2023-05-31,23.0
1198,40,2024-10-30,235.47
1900,31,2024-04-29,37.29
1964,2,2023-09-17,221.01
1243,9,2023-09-17,199.1
1284,16,2023-10-08,366.51
1089,42,2024-09-13,71.79
1546,6,2023-08-18,196.69
1571,43,2023-03-31,223.28
1617,32,2024-08-14,137.55
1949,7,2023-08-11,195.99
1875,40,2023-11-11,166.97
1528,42,2024-08-08,224.54
1378,10,2023-08-05,254.0
1226,13,2023-04-14,302.67
1029,27,2023-10-20,183.98
1559,47,2023-01-05,17.17
1806,14,2024-11-17,220.23
1704,48,2023-02-06,473.14
1308,1,2024-11-11,343.95
1784,38,2024-04-28,414.34
1869,41,2024-06-16,107.73
1262,4,2024-08-13,438.03
1867,27,2024-11-04,117.05
1246,43,2024-03-29,262.75
1815,5,2024-04-02,227.2
1612,12,2024-12-31,291.59
1510,41,2023-01-09,82.05
1919,40,2023-07-20,67.76
1558,1,2024-11-13,57.96
1528,19,2024-03-04,418.66
1663,6,2024-08-22,499.69
1772,15,2024-07-02,84.02
1508,36,2024-02-05,131.35
1801,23,2024-06-23,494.47
1530,35,2024-09-01,239.21
1374,20,2023-04-24,258.16
1470,38,2023-01-30,155.09
1057,41,2024-11-24,462.45
1703,13,2024-02-29,249.41
1069,5,2024-08-28,493.4
1303,34,2023-04-03,361.34
1783,32,2024-07-02,434.75
1073,36,2024-03-30,201.24
1298,18,2023-07-18,30.98
1221,32,2024-08-04,112.38
1407,24,2023-04-16,417.96
1681,10,2023-09-18,465.71
1835,39,2024-05-08,33.3
1303,31,2024-09-02,340.11
1958,9,2023-01-22,201.21
1685,20,2024-07-06,240.13
1193,35,2023-02-11,234.87
1714,39,2024-02-10,201.8
1252,47,2024-05-29,113.99
1732,26,2023-11-29,100.7
1658,41,2024-12-19,485.09
1185,23,2023-01-12,146.8
1265,46,2024-10-21,257.62
1440,27,2024-10-02,239.21
1077,32,2024-11-03,371.88
1674,36,2024-03-20,458.17
1502,30,2023-08-16,489.36
1578,30,2024-11-13,414.02
1775,7,2024-06-16,239.11
1567,28,2023-07-23,373.34
1678,1,2024-06-01,53.09
1633,24,2024-04-27,36.13
1211,50,2023-08-01,283.77
1737,14,2024-06-12,357.29
1739,24,2024-03-08,43.74
1950,48,2023-09-03,272.88
1117,2,2023-07-07,114.91
1670,5,2023-10-28,496.55
1321,38,2023-11-05,360.66
1343,21,2023-12-12,388.76
1658,19,2024-10-31,299.19
1336,20,2023-03-02,410.26
1906,21,2024-09-13,226.48
1339,8,2023-08-24,118.86
1529,10,2023-04-28,267.47
1971,28,2024-03-26,368.44
1705,24,2023-08-24,89.69
1356,10,2024-07-13,31.28
1884,12,2023-06-02,191.01
1250,44,2024-02-08,386.89
1990,3,2024-07-21,447.4
1334,5,2024-03-11,333.44
1736,3,2024-01-09,429.2
1806,23,2024-07-04,271.39
1971,46,2024-03-10,61.77
1644,36,2024-03-13,444.9
1778,50,2024-10-14,496.15
1538,31,2024-09-18,459.76
1323,13,2024-02-24,64.92
1727,49,2024-04-21,477.4
1375,22,2024-10-10,205.89
1995,23,2023-01-31,333.97
1355,6,2024-11-26,119.24
1343,12,2023-01-10,47.69
1135,34,2023-12-31,90.63
1636,41,2023-07-11,294.75
1777,45,2023-07-12,427.44
1863,18,2024-06-14,55.39
1779,41,2024-12-17,129.02
1285,36,2023-01-11,264.32
1386,14,2023-05-02,470.06
1931,16,2023-12-23,112.69
1520,18,2024-07-13,244.16
1295,49,2023-04-21,49.75
1379,35,2023-09-30,87.18
1484,25,2024-09-13,285.01
1112,13,2024-01-01,290.91
1009,39,2023-05-30,274.75
1921,19,2024-02-03,219.95
1088,9,2023-08-07,61.21
1635,29,2023-12-06,81.84
1266,3,2024-01-16,422.23
1150,11,2024-12-01,25.72
1704,23,2023-12-24,204.22
1044,21,2023-05-12,428.77
1240,23,2024-04-06,148.54
1966,13,2024-03-06,207.24
1083,14,2023-09-07,260.87
1588,44,2023-06-03,433.35
1933,48,2024-09-08,183.17
1529,3,2024-07-09,475.92
1154,17,2024-03-16,427.24
1400,32,2024-01-21,292.22
1416,46,2023-05-22,235.11
1023,13,2023-01-30,228.53
1868,8,2023-07-25,307.49
1648,26,2023-02-08,278.31
1195,26,2023-09-11,246.64
1102,20,2024-05-15,211.77
1617,47,2024-01-13,498.2
1139,37,2024-04-24,455.55
1391,7,2023-05-13,489.64
1290,32,2024-06-11,63.73
1748,27,2023-11-10,104.27
1774,40,2023-09-27,102.68
1948,3,2024-11-05,140.25
1066,45,2023-11-08,460.34
1992,16,2023-11-13,196.32
1560,21,2023-04-11,241.35
1380,40,2023-07-09,137.21
1599,39,2024-03-07,93.45
1930,48,2024-05-15,483.22
1218,12,2023-03-22,343.99
1253,16,2023-01-04,229.67
1134,1,2024-04-26,112.0
1745,32,2023-06-22,52.97
1737,41,2023-02-20,324.36
1246,34,2024-06-20,375.47
1046,25,2024-01-23,431.22
1999,34,2024-08-25,361.06
1220,19,2024-07-08,360.38
1190,47,2024-11-29,107.45
1166,44,2024-04-26,239.73
1085,22,2024-12-15,455.19
1124,27,2024-08-08,16.11
1448,4,2023-10-24,302.07
1486,35,2023-11-09,205.4
1813,44,2023-06-03,492.63
1286,10,2024-09-23,378.13
1427,34,2023-01-22,15.12
1645,33,2024-03-12,213.62
1290,20,2023-04-17,13.96
1812,47,2024-04-29,169.18
1400,41,2024-06-15,370.51
1443,10,2023-07-16,425.03
1062,32,2024-06-13,222.65
1764,49,2024-07-11,292.82
1978,11,2024-10-26,472.27
1551,20,2024-10-16,279.84
1443,33,2024-02-23,166.31
1588,3,2024-05-10,228.74
1298,46,2023-05-27,200.14
1936,3,2024-12-25,496.68
1728,48,2023-04-14,206.29
1207,27,2023-01-13,333.61
1660,33,2023-05-05,321.19
1075,7,2023-12-17,325.65
1044,32,2023-10-26,206.9
1091,42,2024-11-03,86.61
1663,15,2024-05-02,84.99
1542,50,2023-12-29,370.34
1394,31,2023-09-28,156.55
1535,39,2023-01-14,39.56
1305,20,2023-12-19,374.0
1445,38,2024-10-08,289.57
1535,50,2023-12-26,438.9
1059,23,2024-11-30,473.73
1930,7,2023-03-13,238.98
1729,23,2024-02-14,261.23
1874,42,2024-05-19,292.05
1897,27,2023-11-10,331.77
1504,28,2024-04-26,239.82
1030,47,2023-04-22,413.01
1422,1,2024-05-25,177.81
1170,29,2023-12-14,350.32
1043,35,2024-02-12,320.09
1186,34,2024-04-22,452.63
1492,49,2024-12-09,120.01
1349,4,2024-02-06,269.83
1239,37,2024-11-26,409.21
1017,45,2024-10-09,183.13
1958,27,2023-07-16,65.91
1181,11,2024-09-30,324.45
1058,9,2023-04-16,335.76
1298,41,2024-11-09,69.28
1399,24,2024-03-11,327.02
1282,43,2023-08-06,97.14
1188,34,2023-02-13,367.34
1923,39,2024-05-13,184.17
1563,47,2023-07-31,427.14
1898,12,2024-04-27,237.06
1528,12,2024-02-15,18.04
1698,30,2023-12-09,211.41
1423,13,2023-08-30,85.67
1960,42,2024-10-21,90.86
1248,33,2023-02-09,440.3
1766,23,2023-02-16,218.53
1445,43,2023-05-07,428.06
1347,8,2023-05-30,152.0
1540,29,2024-11-16,444.33
1524,48,2024-01-10,352.27
1248,28,2023-07-29,61.35
1745,24,2023-09-17,350.56
1913,10,2023-07-08,314.57
1862,28,2023-07-22,370.09
1498,14,2023-10-25,325.24
1512,24,2024-12-10,149.06
1979,49,2023-08-28,306.72
1133,33,2024-01-29,330.38
1759,22,2024-01-23,349.08
1969,48,2024-01-11,454.87
1604,38,2023-04-15,85.81
1202,37,2024-02-27,177.17
1312,21,2024-01-16,396.26
1472,46,2024-04-29,186.39
1099,7,2023-07-07,478.82
1680,23,2023-11-10,233.52
1209,48,2024-03-09,355.16
1918,1,2023-03-22,335.47
1835,13,2024-10-05,93.14
1515,17,2023-06-22,262.25
1791,27,2023-09-12,148.55
1287,21,2023-11-04,201.73
1759,45,2023-08-06,340.49
1623,27,2023-04-24,332.0
1776,21,2023-03-17,32.71
1937,49,2023-11-10,226.86
1699,36,2024-06-17,175.86
1493,46,2024-09-10,315.42
1422,34,2023-09-11,426.99
1970,37,2023-11-03,265.25
1536,16,2023-11-21,456.54
1341,26,2024-05-05,109.22
1368,24,2024-05-13,168.03
1670,16,2023-05-18,111.68
1335,5,2023-03-27,447.49
1272,1,2024-09-09,251.74
1913,44,2024-10-08,409.08
1664,17,2024-04-17,407.12
1335,27,2024-09-22,325.89
1774,4,2024-06-30,237.56
1791,43,2023-11-16,203.46
1279,17,2023-03-24,254.83
1658,20,2023-12-20,333.5
1320,31,2023-01-03,175.09
1757,26,2024-07-16,485.63
1698,50,2024-08-16,358.45
1337,29,2023-09-14,122.94
1739,13,2023-11-23,87.58
1471,44,2023-07-28,195.97
1247,41,2023-08-23,423.91
1295,10,2023-01-14,271.3
1487,44,2024-05-16,54.65
1006,47,2023-01-27,190.93
1801,50,2023-11-23,83.5
1102,9,2023-03-29,22.65
1563,30,2023-12-11,115.67
1819,43,2023-07-31,424.54
1379,1,2024-09-15,208.0
1614,16,2024-05-21,252.49
1238,50,2023-10-16,220.22
1063,41,2024-12-02,274.69
1471,38,2024-08-10,117.29
1646,25,2024-10-11,392.25
1948,17,2024-01-19,389.77
1719,8,2024-11-28,139.74
1014,11,2023-01-18,203.58
1446,47,2023-09-26,165.97
1794,36,2023-04-05,446.72
1154,22,2024-09-12,218.95
1634,47,2024-09-28,130.45
1407,6,2023-01-06,305.42
1211,26,2024-04-13,97.05
1591,17,2023-05-21,465.93
1515,33,2023-12-25,400.09
1915,16,2023-05-29,13.33
1451,50,2024-10-16,86.95
1388,46,2023-04-23,349.54
1363,11,2024-01-02,316.31
1431,24,2023-01-31,313.42
1380,46,2024-01-13,326.17
1163,32,2024-10-05,277.52
1910,36,2024-06-13,360.98
1555,27,2024-10-15,145.98
1995,40,2024-09-14,125.18
1698,22,2024-03-22,54.82
1762,7,2024-09-06,24.41
1352,6,2023-04-04,160.39
1860,11,2023-09-12,197.23
1259,40,2024-02-15,469.74
1685,45,2024-11-01,217.15
1951,10,2024-03-04,19.22
1167,10,2023-02-13,63.68
1765,34,2024-10-23,342.1
1129,8,2023-09-13,111.93
1595,39,2024-05-20,465.41
1530,50,2023-08-28,137.07
1336,14,2023-06-24,223.08
1709,2,2024-09-09,193.89
1819,10,2023-01-10,76.63
1923,4,2024-04-18,402.54
1327,30,2024-09-03,16.1
1327,38,2023-01-18,273.91
1419,38,2024-10-19,385.45
1703,18,2024-10-09,346.46
1050,35,2024-03-30,40.27
1271,10,2024-03-27,312.91
1203,40,2024-09-02,173.07
1004,10,2023-11-06,107.05
1957,13,2024-03-19,141.69
1090,35,2024-09-18,148.45
1887,46,2024-08-19,494.25
1014,21,2023-05-31,188.83
1264,47,2023-07-10,358.22
1545,33,2024-09-14,426.67
1788,8,2023-12-25,89.65
1497,20,2024-04-10,427.17
1642,29,2024-10-25,475.82
1445,18,2023-08-29,244.27
1623,26,2023-10-25,415.12
1784,19,2024-04-11,174.07
1912,18,2023-07-29,400.37
1996,36,2024-12-29,277.89
1767,36,2024-05-24,463.74
1523,20,2024-08-09,229.37
1284,16,2024-07-23,239.78
1325,31,2023-04-25,285.53
1098,33,2023-11-13,494.9
1308,32,2023-09-23,460.95
1453,13,2023-08-06,315.63
1807,39,2023-02-16,76.86
1021,7,2023-10-08,113.86
1812,2,2024-11-07,170.55
1855,47,2024-03-02,246.08
1347,38,2024-11-30,313.12
1048,2,2023-01-13,473.13
1882,48,2023-07-09,90.9
1239,32,2023-05-20,266.18
1448,41,2024-12-11,397.75
1446,9,2024-06-07,185.03
1150,43,2024-12-22,291.37
1927,37,2024-11-02,498.2
1051,15,2024-10-01,393.24
1431,21,2024-05-01,192.67
1446,3,2023-03-08,454.74
1760,6,2023-07-14,423.01
1365,1,2023-02-06,188.99
1216,20,2023-11-12,128.9
1479,6,2024-10-08,263.66
1583,8,2024-10-04,379.09
1711,21,2023-03-09,218.05
1725,20,2023-07-16,85.55
1496,11,2024-02-09,490.27
1174,40,2024-02-29,421.01
1056,31,2024-10-16,469.09
1477,21,2024-10-25,110.98
1078,10,2024-08-31,255.41
1994,50,2023-01-10,236.6
1747,29,2023-09-30,213.15
1437,26,2024-04-01,306.95
1177,42,2023-05-09,286.21
1014,48,2024-11-29,210.65
1275,28,2023-11-12,51.79
1896,35,2024-08-20,251.26
1267,21,2024-02-11,194.11
1584,8,2023-04-04,313.72
1697,15,2023-12-12,81.0
1308,40,2023-12-22,152.72
1744,8,2023-03-18,339.62
1082,32,2024-07-15,424.01
1448,25,2023-09-18,278.73
1372,31,2023-10-15,402.42
1512,12,2024-03-04,238.76
1490,25,2023-02-10,390.08
1049,32,2024-05-28,86.51
1260,1,2024-05-24,80.21
1594,40,2024-04-04,179.42
1903,20,2024-08-15,287.71
1302,23,2023-07-16,410.38
1424,35,2024-11-02,306.19
1273,13,2024-06-26,393.62
1856,40,2023-05-05,25.02
1683,5,2023-06-01,391.06
1286,24,2023-02-10,292.35
1984,5,2023-05-03,176.18
1463,3,2023-01-28,406.61
1771,20,2023-01-04,399.86
1869,7,2023-01-07,479.3
1045,24,2024-04-19,18.64
1686,27,2023-03-05,397.97
1881,1,2024-12-13,12.98
1006,14,2023-07-02,54.02
1745,32,2024-05-16,69.69
1745,26,2024-09-13,422.51
